leg_	surname	name	parlment	e1_90	p1a	p1b	p1c	p1d	p1e	p1f	p1g	p1h	p2	p3a	p3b	p3c	p3d	p3e	p3f	p3g	p3h	p4	p5	p6	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v18	v19	v20	v21	v22	v23	v24	v25	v26	v27	v28	v29	v30	v31	v32	v33	v34	v35	v36	v37	v38	v39	v40	v41	v42	v43	v44	v45	v46	v47	v48	v49	v50	v51	v52	v53	v54	v55	v56	v57	v58	v59	v60	v61	v62	v63	v64	v65	v66	v67	v68	v69	v70	v71	v72	v73	v74	v75	v76	v77	v78	v79	v80	v81	v82	v83	v84	v85	v86	v87	v88	v89	v90	v91	v92	v93	v94	v95	v96	v97	v98	v99	v100	v101	v102	v103	v104	v105	v106	v107	v108	v109	v110	v111	v112	v113	v114	v115	v116	v117	v118	v119	v120	v121	v122	v123	v124	v125	v126	v127	v128	v129	v130	v131	v132	v133	v134	v135	v136	v137	v138	v139	v140	v141	v142	v143	v144	v145	v146	v147	v148	v149	v150	v151	v152	v153	v154	v155	v156	v157	v158	v159	v160	v161	v162	v163	v164	v165	v166	v167	v168	v169	v170	v171	v172	v173	v174	v175	v176	v177	v178	v179	v180	v181	v182	v183	v184	v185
"d151"	"LUXTON"	"MURRAY"	44	"MATAMATA"					"ntl"	"ntl"	"ntl"	"ntl"	87				"cabinet minister"	"cabinet minister"	"cabinet minister"	"cabinet minister"	"cabinet minister"	"won"	"elected in electorate"	33	6	1	6	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	6	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	6	1	0	0	0	0	1	1	0	0	0	1	6	0	0	0	1	1	1	0	0	0	0	1	6	1	0	6	6	1	1	1	0	0	0	0	1	0	1	6	6	6	6	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1
"d152"	"MACKEY"	"JANET"	44	"GISBORNE"					"lab"	"lab"	"lab"	"lab"	93				"backbencher"	"backbencher"	"backbencher"	"backbencher"	"backbencher"	"won"	"elected in electorate"	17	6	0	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	0	1	1	1	0	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	0	6	0	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	6	1	0	0	0	0	1	1	1	6	6	6	1	0	6	6	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
"d153"	"MAHAREY"	"STEVEN"	44	"PALMERSTON NORTH"					"lab"	"lab"	"lab"	"lab"	90				"backbencher"	"backbencher"	"backbencher"	"backbencher"	"shadow minister"	"won"	"elected in electorate"	"not on list"	6	0	1	0	1	0	1	0	6	6	6	6	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	6	6	1	1	1	1	6	1	6	1	1	6	6	6	6	6	6	6	1	1	1	6	1	1	1	1	1	1	1	0	1	1	1	6	6	6	0	0	1	6	6	0	0	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	6	1	1	1	0	1	1	1	0	1	6	0	1	0	1	1	0	0	0	1	1	0	0	0	0	6	0	0	0	0	1	1	1	6	1	0	0	0	0	1	1	1	0	0	0	0	1	1	1	6	6	6	6	6	6	6	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
"d154"	"MALLARD"	"TREVOR"	44	"PENCARROW"					"lab"	"lab"	"lab"	"lab"	84				"backbencher"	"backbencher"	"backbencher"	"backbencher"	"shadow minister"	"won"	"elected in electorate"	"not on list"	6	0	1	0	1	0	1	0	0	6	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	6	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	6	1	1	1	1	1	1	0	1	6	1	0	1	1	0	0	1	6	6	0	0	1	1	1	6	1	0	0	6	1	1	1	1	0	0	0	1	1	1	1	1	0	1	6	6	0	6	0	0	1	6	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	1	0	6	0	0	0	6	1	1	1	0	0	0	0	1	1	1	0	1	1	1	0	1	0	0	0	6	6	6	6	0	1	0	1	0	0	0	0	0	0	0	0	0
"d155"	"MARSHALL"	"DENIS"	44	"RANGITIKEI"					"ntl"	"ntl"	"ntl"	"ntl"	84				"cabinet minister"	"cabinet minister"	"cabinet minister"	"cabinet minister"	"cabinet minister"	"won"	"elected in electorate"	32	1	1	6	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	6	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	6	1	0	0	0	0	1	1	0	0	0	1	6	0	0	0	1	1	1	0	6	6	6	1	0	1	6	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1
"d156"	"MATTHEWSON"	"CLIVE"	44	"DUNEDIN WEST"					"lab"	"lab"	"united"	"united"					"backbencher"	"backbencher"	"minor party ldr"	"minor party ldr"	"minor party ldr"	"won"	"lost"	1	6	0	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	6	6	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	0	1	0	6	0	1	1	0	0	1	1	0	0	0	1	1	6	1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	0	0	1	0	1	6	6	6	6	0	1	1	0	0	0	6	1	6	6	6	1	1	1	0	1	1	0	1	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	6	6	6	1	6	0	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0
"d157"	"MAXWELL"	"ROGER"	44	"TARANAKI"					"ntl"	"ntl"	"ntl"	"ntl"	84				"jr minister"	"jr minister"	"jr minister"	"jr minister"	"jr minister"	"won"	"elected on list"	25	1	1	0	1	6	6	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	6	6	6	6	6	6	6	6	6	6	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	6	6	1	1	0	0	1	6	6	6	6	0	0	1	1	0	0	0	6	0	0	0	6	1	0	1	0	0	0	1	0	0	0	1	6	1	1	0	0	0	0	1	1	0	0	0	1	6	6	6	6	1	1	1	0	0	0	0	1	0	6	6	6	6	1	1	1	0	0	0	0	1	0	1	6	6	6	0	1	6	6	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1
"d158"	"McCARDLE"	"PETER"	44	"HERETAUNGA"					"ntl"	"ntl"	"ntl"	"nzf"					"backbencher"	"backbencher"	"comm chair"	"backbencher"	"backbencher"	"won"	"elected on list"	4	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	6	0	1	6	6	6	6	6	6	6	1	0	0	1	6	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	6	6	6	6	6	6	6	1	0	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	1	1	6	6	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	6
"d159"	"McCLAY"	"ROGER"	44	"WAIKAREMOANA"					"ntl"	"ntl"	"ntl"	"ntl"					"jr minister"	"jr minister"	"jr minister"	"jr minister"	"jr minister"	"won"	"did not run"	"did not run"	1	1	0	1	0	1	0	6	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	0	1	0	6	6	1	0	6	1	0	0	0	0	1	1	0	0	0	1	1	6	6	6	1	1	1	0	0	0	0	1	6	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	6	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1
"d160"	"McCULLY"	"MURRAY"	44	"EAST COAST BAYS"					"ntl"	"ntl"	"ntl"	"ntl"	87				"jr minister"	"cabinet minister"	"cabinet minister"	"cabinet minister"	"cabinet minister"	"won"	"elected in electorate"	21	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	1	0	0	1	1	0	0	1	6	6	0	0	6	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	6	6	1	0	1	1	0	0	0	0	1	1	0	0	0	1	6	0	0	0	6	6	6	6	6	6	0	1	0	1	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1
