leg_	surname	name	parlment	e1_90	p1a	p1b	p1c	p1d	p1e	p1f	p1g	p1h	p2	p3a	p3b	p3c	p3d	p3e	p3f	p3g	p3h	p4	p5	p6	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v18	v19	v20	v21	v22	v23	v24	v25	v26	v27	v28	v29	v30	v31	v32	v33	v34	v35	v36	v37	v38	v39	v40	v41	v42	v43	v44	v45	v46	v47	v48	v49	v50	v51	v52	v53	v54	v55	v56	v57	v58	v59	v60	v61	v62	v63	v64	v65	v66	v67	v68	v69	v70	v71	v72	v73	v74	v75	v76	v77	v78	v79	v80	v81	v82	v83	v84	v85	v86	v87	v88	v89	v90	v91	v92	v93	v94	v95	v96	v97	v98	v99	v100	v101	v102	v103	v104	v105	v106	v107	v108	v109	v110	v111	v112	v113	v114	v115	v116	v117	v118	v119	v120	v121	v122	v123	v124	v125	v126	v127	v128	v129	v130	v131	v132	v133	v134	v135	v136	v137	v138	v139	v140	v141	v142	v143	v144	v145	v146	v147	v148	v149	v150	v151	v152	v153	v154	v155	v156	v157	v158	v159	v160	v161	v162	v163	v164	v165	v166	v167	v168	v169	v170	v171	v172	v173	v174	v175	v176	v177	v178	v179	v180	v181	v182	v183	v184	v185
"d161"	"McKINNON"	"DONALD"	44	"ALBANY"					"ntl"	"ntl"	"ntl"	"ntl"	78				"dep pm"	"dep pm"	"dep pm"	"dep pm"	"dep pm"	"won"	"elected on list"	2	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	1	0	1	6	6	6	6	6	0	1	0	0	6	0	6	0	1	1	0	0	1	6	0	0	0	1	1	0	1	0	0	0	1	0	6	0	1	0	6	1	0	0	0	0	6	6	6	0	6	1	1	6	6	6	1	1	1	0	0	0	6	1	6	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	1	1	0	6	0	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
"d162"	"McLAUCHLAN"	"JOY"	44	"WESTERN HUTT"					"ntl"	"ntl"	"ntl"	"ntl"	90				"jr whip"	"comm chair"	"comm chair"	"comm chair"	"comm chair"	"won"	"elected on list"	13	1	6	6	1	6	1	6	6	1	6	0	0	6	6	6	6	6	6	0	1	1	0	6	6	6	0	6	6	6	6	1	0	6	6	6	6	6	6	6	1	6	6	6	0	0	0	0	1	0	0	0	6	6	6	0	0	0	0	0	0	6	6	6	0	0	0	6	6	6	6	6	0	0	0	6	6	6	0	0	0	1	0	1	6	1	6	6	1	1	6	6	6	0	0	6	6	0	0	1	1	0	0	1	0	0	0	0	6	6	6	6	0	0	0	1	0	6	0	1	0	1	1	0	0	0	0	1	1	0	0	6	1	1	0	0	0	6	6	6	6	0	0	0	1	0	6	6	6	6	1	1	1	0	0	0	0	1	0	1	0	1	1	0	1	0	1	6	6	6	6	6	6	1	0	1	0	1	1	1	1	1	1	1	1	6
"d163"	"MEURANT"	"ALAN"	44	"HOBSON"					"ntl"	"roc"	"con"	"ind"					"backbencher"	"parl scty"	"parl scty"	"backbencher"	"backbencher"	"won"	"lost"	"not on list"	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	6	0	6	0	1	0	0	1	1	0	6	6	0	0	0	0	6	0	0	6	6	6	6	6	0	0	0	1	6	6	1	0	0	0	1	0	0	6	1	6	1	6	6	6	6	6	6	6	6	0	1	6	6	6	6	6	6	6	6	6	6	6	6	1	6	6	1	1	1	6	6	6	6	6	6	6	6	6	6	6	6	6	0	6	6	6	6	6	6	6	6	6	6	6	6	0	1	1	1	1	1	1	1	1	1
"d164"	"MOORE"	"MICHAEL"	44	"CHRISTCHURCH NORTH"					"lab"	"lab"	"lab"	"lab"	72				"opp ldr"	"backbencher"	"backbencher"	"backbencher"	"backbencher"	"won"	"elected in electorate"	"not on list"	0	6	1	0	1	6	1	0	6	0	1	1	1	1	1	1	1	0	0	0	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0	0	1	1	1	1	1	1	0	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	1	1	1	1	1	1	1	1	1	1	1	0	6	6	1	0	1	1	6	6	6	6	6	1	1	1	1	1	1	1	6	6	6	6	1	6	6	6	6	0	1	1	6	6	6	6	1	6	6	6	6	6	0	1	6	1	6	6	6	6	1	0	0	6	0	0	1	6	6	6	6	6	6	1	0	1	0	1	6	6	1	1	1	0	0	0	0	1	1	1	0	1	1	6	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
"d165"	"NEESON"	"BRIAN"	44	"WAITAKERE"					"ntl"	"ntl"	"ntl"	"ntl"	87				"backbencher"	"backbencher"	"backbencher"	"backbencher"	"backbencher"	"won"	"elected in electorate"	35	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0	6	0	1	1	0	0	1	6	1	0	0	0	0	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1
"d166"	"NEILL"	"ALEXANDER"	44	"WAITAKI"					"ntl"	"ntl"	"ntl"	"ntl"					"backbencher"	"comm chair"	"comm chair"	"comm chair"	"comm chair"	"won"	"lost"	31	1	6	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	6	1	1	0	0	0	0	1	1	0	0	0	1	1	6	6	6	1	1	1	0	0	0	0	6	0	6	6	0	0	1	1	1	0	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	6	6	6	0	1	1	1	1	1	1	1	1	1
"d167"	"NORTHEY"	"RICHARD"	44	"ONEHUNGA"					"lab"	"lab"	"lab"	"lab"	84				"backbencher"	"comm chair"	"comm chair"	"comm chair"	"comm chair"	"won"	"lost"	29	6	6	1	0	6	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	6	1	0	1	1	1	0	6	6	0	0	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	6	0	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	1	0	1	6	6	6	6	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
"d168"	"O'CONNOR"	"DAMIEN"	44	"WEST COAST"					"lab"	"lab"	"lab"	"lab"	93				"backbencher"	"backbencher"	"backbencher"	"backbencher"	"backbencher"	"won"	"elected in electorate"	32	6	0	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	6	6	6	6	6	1	1	0	0	1	1	0	0	0	1	1	1	1	1	0	0	0	1	6	1	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	1	6	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
"d169"	"O'REGAN"	"KATHERINE"	44	"WAIPA"					"ntl"	"ntl"	"ntl"	"ntl"	84				"jr minister"	"jr minister"	"jr minister"	"jr minister"	"jr minister"	"won"	"elected on list"	10	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	0	0	0	0	0	0	0	0	6	6	0	1	0	0	0	6	6	6	1	1	0	0	1	0	0	0	0	0	6	6	1	0	0	1	0	0	6	0	1	1	0	1	0	0	0	1	0	0	0	1	6	6	1	0	0	0	0	1	1	0	6	0	6	1	0	0	0	1	1	1	0	0	0	0	6	0	1	6	6	6	1	1	1	0	0	0	0	1	0	1	0	1	1	6	6	0	1	0	0	0	0	0	0	6	6	6	0	1	1	1	1	1	1	1	1	1
"d170"	"PECK"	"MARK"	44	"INVERCARGILL"					"lab"	"lab"	"lab"	"lab"	93				"backbencher"	"backbencher"	"backbencher"	"backbencher"	"backbencher"	"won"	"elected in electorate"	21	6	0	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	6	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	6	6	6	6	0	1	1	1	1	1	0	1	1	1	0	1	6	6	6	6	6	1	0	0	0	1	0	6	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
"d171"	"PETERS"	"WINSTON"	44	"TAURANGA"					"nzf"	"nzf"	"nzf"	"nzf"	78				"minor party ldr"	"minor party ldr"	"minor party ldr"	"minor party ldr"	"minor party ldr"	"won"	"elected in electorate"	1	0	0	6	0	1	0	1	6	0	1	6	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	6	6	1	1	1	0	6	1	0	0	0	6	1	1	1	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	1	6	6	1	1	1	0	6	6	6	0	6	6	6	6	6	6	0	0	1	0	6	0	1	6	6	6	6	6	1	6	1	6	6	0	1	6	1	1	6	0	1	1	1	1	1	6	0	1	1	1	1	0	0	1	1	0	1	6	0	0	0	0	0	0	6	1	1	6	6	1	0	6	1	1	0	0	0	1	1	1	1	0	6	0	6	6	6	6	6	1	1	1	1	1	1	1	1	0	1	0	6	6	6	6	6	6	6	6	6	6
"d172"	"PETTIS"	"MARJORIE"	44	"WANGANUI"					"lab"	"lab"	"lab"	"lab"	93				"backbencher"	"backbencher"	"backbencher"	"backbencher"	"backbencher"	"won"	"elected in electorate"	14	6	0	6	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	6	1	1	1	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	1	1	1	1	1	1	1	1	6	1	1	0	1	1	1	6	1	1	0	0	1	6	6	0	0	1	1	1	6	1	1	0	0	1	6	1	1	0	6	0	1	1	1	1	1	0	1	1	1	0	6	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	6	6	6	6	1	1	0	0	0	0	1	1	1	0	1	1	1	6	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
"d173"	"REVELL"	"IAN"	44	"BIRKENHEAD"					"ntl"	"ntl"	"ntl"	"ntl"	90				"backbencher"	"comm chair"	"comm chair"	"comm chair"	"comm chair"	"won"	"elected in electorate"	36	1	1	0	1	0	6	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	1	0	1	6	1	0	0	1	1	0	0	1	1	1	0	0	6	0	1	0	6	0	1	0	6	0	0	1	1	0	1	0	0	0	1	0	0	0	1	6	6	1	0	0	0	0	1	1	0	0	0	6	1	0	6	0	1	1	1	0	6	6	0	6	6	6	6	6	6	1	1	1	0	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1
"d174"	"RICHARDSON"	"RUTH"	44	"SELWYN"					"ntl"	"not in parl"	"not in parl"	"not in parl"					"cabinet minister"	"comm chair"	"n/a not in parl"	"not in parl"	"n/a not in parl"	"won"	"did not run"	"did not run"	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
"d175"	"ROBERTSON"	"JOHN"	44	"PAPAKURA"					"ntl"	"ntl"	"united"	"united"					"backbencher"	"comm chair"	"comm chair"	"comm chair"	"comm chair"	"won"	"lost"	4	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	6	1	1	0	0	0	1	1	1	0	1	1	0	1	0	1	6	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1
"d176"	"ROBERTSON"	"ROSS"	44	"PAPATOETOE"					"lab"	"lab"	"lab"	"lab"	87				"backbencher"	"backbencher"	"backbencher"	"backbencher"	"backbencher"	"won"	"elected in electorate"	"not on list"	6	6	6	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	6	1	1	6	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	6	6	6	1	1	1	1	1	1	6	6	6	6	6	6	6	6	6	6	6	1	1	6	6	1	1	1	1	1	1	0	1	6	1	0	1	1	6	6	1	1	0	6	6	6	6	1	6	1	0	0	1	0	1	1	1	0	6	0	6	1	1	1	1	0	1	1	1	0	6	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	6	1	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	6	1	0	1	0	0	0	6	6	6	6	6	6	6	1	0	0	0	0	0	0	0	0	0
"d177"	"RODGERS"	"TREVOR"	44	"HOWICK"					"ntl"	"ntl"	"con"	"con"					"backbencher"	"comm chair"	"comm chair"	"comm chair"	"comm chair"	"won"	"lost"	"not on list"	1	6	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	6	6	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	6	6	1	6	1	1	0	0	0	0	1	1	0	0	1	1	6	6	6	6	1	1	1	0	6	6	0	1	6	6	6	6	6	0	0	0	1	1	6	1	0	6	6	1	0	6	6	0	0	1	6	6	1	0	0	6	6	6	6	0	1	1	1	1	1	1	1	1	1
"d178"	"ROY"	"ERIC"	44	"AWARUA"					"ntl"	"ntl"	"ntl"	"ntl"	93				"backbencher"	"backbencher"	"jr whip"	"jr whip"	"jr whip"	"won"	"elected on list"	23	1	1	0	1	6	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	6	6	1	0	0	1	0	0	0	0	6	6	6	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1
"d179"	"RYALL"	"ANTHONY"	44	"EASTERN BAY OF PLENTY"					"ntl"	"ntl"	"ntl"	"ntl"	90				"backbencher"	"comm chair"	"comm chair"	"comm chair"	"comm chair"	"won"	"elected in electorate"	29	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	1	1	6	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1
"d180"	"SHIPLEY"	"JENNIFER"	44	"RAKAIA"					"ntl"	"ntl"	"ntl"	"ntl"	87				"cabinet minister"	"cabinet minister"	"cabinet minister"	"cabinet minister"	"cabinet minister"	"won"	"elected in electorate"	4	1	6	0	1	0	6	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	0	0	0	0	0	0	0	0	0	6	0	1	0	1	0	1	0	0	1	6	0	0	1	0	0	0	0	6	0	6	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	6	6	1	0	1	1	0	0	0	0	1	1	0	6	0	1	1	0	0	0	1	1	6	6	0	0	6	6	6	1	1	0	0	6	1	1	6	6	6	6	6	6	6	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	6	6	6	1
"d181"	"SIMICH"	"CLEM"	44	"TAMAKI"					"ntl"	"ntl"	"ntl"	"ntl"	92				"backbencher"	"backbencher"	"backbencher"	"backbencher"	"backbencher"		"elected in electorate"	42	1	6	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	6	6	6	6	6	6	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1
"d182"	"SINCLAIR"	"SUZANNE"	44	"TITIRANGI"					"lab"	"lab"	"lab"	"lab"	93				"backbencher"	"backbencher"	"backbencher"	"backbencher"	"backbencher"	"won"	"lost"	27	6	0	1	0	6	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	6	6	6	6	6	1	1	1	1	1	1	1	1	6	6	6	0	6	6	1	0	6	6	0	6	6	1	0	0	0	1	1	6	6	6	0	0	0	1	1	1	1	0	6	6	1	1	1	1	1	0	1	1	1	6	1	6	0	1	0	1	1	0	0	0	1	1	0	0	6	6	6	0	0	0	0	6	6	6	0	1	0	6	0	0	6	1	1	0	0	0	0	1	1	1	6	6	6	1	0	6	6	6	6	6	6	6	6	0	1	0	1	6	6	6	6	6	6	6	6	6
"d183"	"SMITH"	"LOCKWOOD"	44	"KAIPARA"					"ntl"	"ntl"	"ntl"	"ntl"	84				"cabinet minister"	"cabinet minister"	"cabinet minister"	"cabinet minister"	"cabinet minister"	"won"	"elected in electorate"	8	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	1	0	0	1	1	0	0	1	6	6	0	0	0	6	1	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	6	0	1	1	0	0	0	1	1	1	0	0	0	6	1	0	1	1	0	0	1	1	1	6	0	0	0	1	0	1	0	1	1	6	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1
"d184"	"SMITH"	"NICK"	44	"TASMAN"					"ntl"	"ntl"	"ntl"	"ntl"	90				"backbencher"	"backbencher"	"comm chair"	"comm chair"	"comm chair"	"won"	"elected in electorate"	30	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	0	1	6	6	6	6	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1
"d185"	"SOWRY"	"ROGER"	44	"KAPITI"					"ntl"	"ntl"	"ntl"	"ntl"	90				"jr whip"	"jr whip"	"sr whip"	"sr whip"	"sr whip"	"won"	"elected in electorate"	15	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	1	6	0	0	1	0	0	1	1	0	0	1	0	0	6	6	0	0	1	0	0	0	1	0	0	6	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	6	0	1	1	0	0	0	1	1	6	0	0	1	1	1	0	0	0	0	1	6	1	0	0	0	1	1	1	0	0	0	0	1	0	1	6	6	6	1	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1
"d186"	"STOREY"	"WILLIAM"	44	"WAIKATO"					"ntl"	"ntl"	"ntl"	"ntl"					"cabinet minister"	"comm chair"	"comm chair"	"comm chair"	"comm chair"	"won"	"did not run"	"did not run"	1	1	6	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	6	6	6	0	1	0	0	1	1	0	0	1	1	1	0	0	0	6	6	1	0	0	1	6	0	0	0	6	6	6	6	0	0	0	1	0	0	0	1	0	6	1	0	0	0	0	1	1	0	0	0	6	6	6	6	6	1	1	1	0	0	0	0	6	6	6	6	6	6	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1
"d187"	"SUTHERLAND"	"LARRY"	44	"AVON"					"lab"	"lab"	"lab"	"lab"	87				"jr whip"	"jr whip"	"jr whip"	"jr whip"	"jr whip"	"won"	"elected in electorate"	"not on list"	6	0	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	6	6	6	1	1	1	1	1	1	1	1	1	1	1	1	6	6	1	1	1	1	1	1	0	6	1	1	0	1	1	0	0	1	1	0	0	0	6	1	1	1	1	1	1	0	1	1	1	1	6	0	0	1	1	1	1	1	0	1	1	1	0	1	6	6	6	6	6	6	6	6	6	6	1	0	0	6	6	6	0	0	0	0	1	1	1	6	6	0	0	6	6	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	6	6	6	1	0	0	0	0	0	0	0	0	0
